|MJD|counts_target|counts_bkg|counts_ref|count_median|folder|path_file
53|59410.6492242|52174.20441833959|224407.38195214065|26456.86191389343|685.0|210715B|./210715B/barnards/210715B_barnards_0054.fit
54|59410.6493214|52282.55481804826|224275.59527463123|26778.098653734487|685.0|210715B|./210715B/barnards/210715B_barnards_0055.fit
55|59410.6494187|51936.857036388654|224545.8620587577|25927.30005302123|685.0|210715B|./210715B/barnards/210715B_barnards_0056.fit
56|59410.6495171|51514.891599104914|224905.7918336675|24346.01647518549|684.0|210715B|./210715B/barnards/210715B_barnards_0057.fit
57|59410.6496143|52052.35740921518|224178.059279176|26936.20903139515|685.0|210715B|./210715B/barnards/210715B_barnards_0058.fit
58|59410.6497115|51897.5098686858|224451.25899164623|26285.797475600208|685.0|210715B|./210715B/barnards/210715B_barnards_0059.fit
59|59410.6498087|51737.57510860008|224503.5377333712|25816.10922626406|685.0|210715B|./210715B/barnards/210715B_barnards_0060.fit
60|59410.6499059|51811.05176568718|224382.8772057122|25678.242057651863|684.0|210715B|./210715B/barnards/210715B_barnards_0061.fit
61|59410.6500031|52210.32156335228|224263.23408380253|26083.844668208098|684.0|210715B|./210715B/barnards/210715B_barnards_0062.fit
62|59410.6501004|51854.174607060384|224002.17439073854|26397.42292190669|684.0|210715B|./210715B/barnards/210715B_barnards_0063.fit
63|59410.6501976|52078.77729583724|224198.13239864563|25688.896899303654|684.0|210715B|./210715B/barnards/210715B_barnards_0064.fit
64|59410.6502948|51963.6430908207|224106.83847701963|26013.71801217855|684.0|210715B|./210715B/barnards/210715B_barnards_0065.fit
65|59410.6503921|51860.472958707105|223805.41801504933|26161.899079734663|684.0|210715B|./210715B/barnards/210715B_barnards_0066.fit
66|59410.6504893|52182.92611581227|223618.3453400709|26331.122969585005|684.0|210715B|./210715B/barnards/210715B_barnards_0067.fit
67|59410.6505865|51679.40354930243|224230.7906110363|26303.97926961753|684.0|210715B|./210715B/barnards/210715B_barnards_0068.fit
68|59410.6506837|51696.69740112516|223923.54741200263|26629.22868111136|684.0|210715B|./210715B/barnards/210715B_barnards_0069.fit
69|59410.6507809|51863.50027402758|223586.0879378824|26016.12446985976|683.0|210715B|./210715B/barnards/210715B_barnards_0070.fit
70|59410.6508781|51663.233105527936|224021.1076425683|25978.47299271135|683.0|210715B|./210715B/barnards/210715B_barnards_0071.fit
71|59410.6509753|52203.721962474665|223667.22994239032|26277.27445979879|683.0|210715B|./210715B/barnards/210715B_barnards_0072.fit
72|59410.6510726|52076.51396539062|223662.2259305301|26378.70193418127|683.0|210715B|./210715B/barnards/210715B_barnards_0073.fit
73|59410.6511698|51781.38050125007|223723.0278826032|26300.878268642|683.0|210715B|./210715B/barnards/210715B_barnards_0074.fit
74|59410.6512671|51733.37702981246|223880.17010251727|26077.94733725526|683.0|210715B|./210715B/barnards/210715B_barnards_0075.fit
75|59410.6513643|52231.53461391997|223567.60042534868|25924.51271677995|683.0|210715B|./210715B/barnards/210715B_barnards_0076.fit
76|59410.6514615|51830.69232873549|223667.13409586076|25824.428327946283|682.0|210715B|./210715B/barnards/210715B_barnards_0077.fit
77|59410.6515587|51819.772565338295|223633.46419917973|25719.3742883901|682.0|210715B|./210715B/barnards/210715B_barnards_0078.fit
78|59410.6516559|51597.42376757867|223677.29024059844|26276.379833324783|682.0|210715B|./210715B/barnards/210715B_barnards_0079.fit
79|59410.6517531|51628.58249719994|223562.73771511327|26366.262497719465|682.0|210715B|./210715B/barnards/210715B_barnards_0080.fit
80|59410.6518503|52143.781360192224|223125.29968880303|26671.68087894484|682.0|210715B|./210715B/barnards/210715B_barnards_0081.fit
81|59410.6519476|52260.60315662119|223523.1541727402|25995.6286284744|682.0|210715B|./210715B/barnards/210715B_barnards_0082.fit
